id,comment
UgzkHgjH2hN-LOmGJa54AaABAg,"Urusai + that laugh at the end. 

I love it."
Ugy4ydzwqfjBTgIfDpR4AaABAg,you could say a bit hen 変
UgxUUEQO5L6z2kpaZ3h4AaABAg,Is this going on Spotify?
Ugxvk9aarkBaVpxWm0J4AaABAg,Bae's whispering voice always activates my neurons
Ugz5LZ91Ho-Rl2b5rit4AaABAg,"omg Bae... you're just so stunning, your vocals are just perfect<33"
UgylqWzhOGmwT8fkqO54AaABAg," What a cover !! I'm in awe ... I guess this is what happen when you mix raw talent and hard work, thank you so much Bae ... Also, that last urusai ... TSKR "
UgxQ3PkFghl0GvXG2WV4AaABAg,She's never failed to amaze me with her sheer range and talent 
Ugw2HVNqnfjvlBEWnMN4AaABAg,"This is ringtone worthy, especially at the end with the laughing
Which is ironic cause that'll be me telling whoever is calling to shut up"
Ugzmh-6Uri0pjW59ahR4AaABAg,"You need to listen with earphones/headphones, That bit at the end gave me chills"
Ugx7liCf4LUJfs8pIed4AaABAg,"Bae's image in this video is how I would imagine chaos personalized. So cool~~ What we have is cute, easily-scared coffee addict"
Ugww6yMTeICkbzjiy6N4AaABAg,あのかわいいハコスさんからこんなかっこいい声が出るなんて!ちょっと痺れた。。😵
Ugx_b4Zn7FtaJltpfGN4AaABAg,can u get even cooler omg
UgzDOMuHJqEWEcYgGux4AaABAg,Love how cool you sound !
UgxOPXhNF04lZ_qwkR54AaABAg,*gulp
UgzIx4dRe3p3T_4HT0h4AaABAg,"Nice cover Bae, good job"
UgwG7SXkbfglQRQm6kp4AaABAg,This is my favorite song from shimon! And no way BAE doing the cover for this!!! NO DOUBT MY FAVORITE COVER SO FAR!! 😳❤️
UgwJjHqG44XQtO6r6dd4AaABAg,"UUUWWWOOOOGGHH
URUSAI NA CHANGE ME
"
Ugy6u8pafyojAC4poWt4AaABAg,yandere Baelz pog lets freaking go
UgxDEzQ9naaZ8st8S5t4AaABAg,"Bae sounds so cool , classy and spooky !!! I´m scared but also delighted "
